Agroeca proxima,37.4,-6.7
Clubiona similis,42,-16.9
Clubiona trivialis,41.4,-7.4
Dipoena inornata,43.2,-16.4
Oedothorax apicatus,40.4,-7.5
Pardosa nigriceps,39.7,-7.2
Philodromus aureolus,42.1,-10.8
Scotina gracilipes,41.4,-6.9
Stemonyphantes lineatus,40.5,-13.3
Tibellus oblongus,42.8,-13
Sceloporus undulatus,40.4,11.4
Lacerta agilis,43.9,5.9
Podarcis muralis,44.2,8.3
Psammodromus algirus,43.5,7
Psammodromus hispanicus,45.5,8.8
Dipsosaurus dorsalis,47.5,14
Chamaeleo bitaeniatus,42.2,4.4
Chamaeleo dilepis,43.6,7.6
Chamaeleo ellioti,41.8,3.5
Chamaeleo hohnelii,40.8,5.1
Chamaeleo jacksonii,40,5.3
Chamaeleo schubotzi,41.6,1.4
Ctenotus regius,45.1,8.7
Ctenotus taeniolatus,44.7,11.4
Ctenotus uber,45.5,9.1
Egernia striolata,44.2,6.1
Eremiascincus fasciolatus,41.2,9
Eremiascincus richardsonii,42,7.3
Tiliqua rugosa,43,3.5
Hemiergis peronii,38.6,6.8
Bufo alvarius,39.9,2.5
Bufo canaliferlus,37.3,9.5
Bufo canorus,38,-2
Bufo cognatus,41.3,-4
Bufo debilis,40.1,2.5
Bufo exsul,37.1,-4
Bufo haemititicus,37.5,9.5
Bufo marinus,41.8,11
Bufo marmoreus,40.2,7.8
Bufo mazatlanensis,39.9,5
Craugastor fleischmanni,31.4,6
Dendrobates auratus,34.8,9.5
Hyla walkeri,38.1,-2.2
Leptodactylus melanotus,39.8,5
Pachymedusa dacnicolor,28.8,2.5
Pseudacris cadaverina,36.8,-1.4
Pseudacris regilla,36.6,-1
Pternohyla fodiens,39.5,6.5
Rana cascadae,33.6,-1
Rana palmipes,36.9,-1
Rana pipiens,35.2,-1.6
Rana pretiosa,34.8,-1
Rana warszewitschii,32.8,4.8
Smilisca baudini,40.4,5
Spea hammondi,40.3,0
Tlalocohyla smithi,42.5,5
Tarentola boettgeri,42.6,9.2
Eleutherodactylus coqui,37.2,7.5
Gambelia wislizennii,43.6,12.6
Liolaemus abaucan,47.3,15.41
Liolaemus albiceps,44.33,7.05
Liolaemus bibronii,44.53,8.49
Liolaemus boulengeri,43.99,9.4
Liolaemus canqueli,44.6,6.99
Liolaemus cf. Capillitas,43.7,7.47
Liolaemus cf. elongatus,45.1,7.68
Liolaemus chacoensis,44.1,14.9
Liolaemus cuyanus,45.7,12
Liolaemus darwinii,44.68,10.11
Liolaemus fitzingerii,44.45,8.24
Liolaemus irregularis,44.98,6.96
Liolaemus kingii,44.5,7.01
Liolaemus koslowskyi,46.1,13.22
Liolaemus kriegi,43.67,7.6
Liolaemus laurenti,46.18,12.2
Liolaemus melanops,44.94,5.65
Liolaemus multicolor,44.7,8.06
Liolaemus multimaculatus,43.83,8.93
Liolaemus olongasta,44.58,11.85
Liolaemus petrophilus,45.23,7.31
Liolaemus poecilochromus,44.16,9.35
Liolaemus pseudoanomalus,45.93,12.19
Liolaemus quilmes,44.69,8.46
Liolaemus riojanus,45.2,10.7
Liolaemus robertmertensi,43,14.07
Liolaemus rothi,43.8,5.5
Liolaemus salinicola,48.21,14.2
Liolaemus scapularis,45.57,9.39
Liolaemus scrocchi,43.91,8.83
Liolaemus sp.,43.85,9.67
Liolaemus xanthoviridis,44.48,7.86
webbi,41.4,2.2
Halozetes fulvus,39.9,-6.9
Podacarus auberti,39.5,-5.1
Plestiodon elegans,41.9,9.3
Imbrasia belina,43.1,8.8
Zootoca vivipara,43.9,1.9
Laudakia stellio,45,12.6
Trapelus savignyi,47.2,12
Coptotermes formosanus,45.9,7.2
Reticulitermes flavipes,44.85,1.6
Sphenomorphus incognitus,41.5,11.6
Sphenomorphus taiwanensis,38.4,4.9
Protobothrops mucrosquamatus,38.6,3.5
Trimeresurus gracilis,38.3,3.7
stejnegeri,38.9,5.6
Sphaerodactylus gaigeae,38.2,12.5
Sphaerodactylus klauberi,36.3,10.4
Sphaerodactylus macrolepis,39.5,11.8
Sphaerodactylus nicholsi,40.5,12.6
Sphaerodactylus roosevelti,39.5,11.4
Sphaerodactylus townsendi,41.7,11.4
Anolis cristatellus,37.1,8.9
Anolis cooki,38.8,9.3
Anolis gundlachi,35.4,6.3
Sceloporus merriami,41.5,14.1
Phymaturus patagonicus,39.9,9.8
Myro kerguelenensis,35.4,-7.1
Prinerigone vagans,35.9,-8.1
Linepithema humile,40,-1
Drosophila albomicans,32.5,5.3
Drosophila angularis,34.4,-2.1
Drosophila auraria,33.9,-3.3
Drosophila biauraria,32.5,-2.7
Drosophila bipectinata,33.5,7.1
Drosophila bizonata,32.9,-2.7
Drosophila bocki,33.2,6.8
Drosophila brachynephros,33.6,-3.7
Drosophila curvispina,32.6,-4.5
Drosophila daruma,33.4,-0.2
Drosophila elegans,33.6,3.6
Drosophila ficusphila,33.5,1.7
Drosophila kanekoi,35.4,-5.5
Drosophila lacertosa,31,0.7
Drosophila lacteicornis,32.5,1.7
Drosophila lutescens,31.1,0.5
Drosophila nigromaculata,34.3,-4.5
Drosophila orientacea,31.9,-4.5
Drosophila quadrilineata,33.9,6.8
Drosophila ruberrima,32.1,2.5
Drosophila rufa,32.9,0.6
Drosophila sternopleuralis,31.4,1.7
Drosophila suzukii,32.7,-1.2
Drosophila takahashii,32.5,4.5
Drosophila unispina,32.3,-3.5
Hirtodrosophila histrioides,32.3,-3.5
Scaptodrosophila bryani,35.5,4.2
Scaptodrosophila coracina,34.5,-2.4
Scaptodrosophila dorsocentralis,34.2,8.3
Scaptodrosophila pallida,33.9,-6.3
Pringleophaga marioni,38.7,-6
Spodoptera exempta,55.94,11.81
Embryonopsis halticella,39.7,-0.2
Paractora dreuxi,35.5,-5.5
Bothrometopus brevis,34.4,-5.1
Bothrometopus gracilipes,36.8,-6
Canonopsis sericeus,38.7,-5
Ectemnorhinus viridis,33.9,-4.6
Platysaurus intermedius,44.8,8.9
Desmognathus fuscus,35,-2.3
Eurycea bislineata,35,-2
Rana sylvaticus,33.9,0.5
Xantusia riversiana,39,6.6
Hodotermes mossambicus,48,6
Drosophila albomicans,33,-1.5
Drosophila curviceps,30,-5.5
Drosophila immigrans,31.5,-1.5
Onymacris bicolor,49,9
Onymacris marginipennis,47.4,9.4
Onymacris plana,48.9,10.5
Onymacris rugatipennis,50.5,10.5
Onymacris unguicularis,50.4,12.3
Physadesmia globosa,50.8,13.7
Misumenoides formosipes,48.2,2.2
Misumenops asperatus,45.1,-1.4
Isotoma klovstadi,34.5,-13.3
Cryptopygus cisantarcticus,31.8,-7.9
Friesea grisea,35.1,-7.7
Antarctopsocus jeanneli,29.5,-13
Halmaeusa atriceps,32.4,-4.1
Amphibolurus decresii,43.8,7
Amphibolurus diemensis,44.8,3.1
Amphibolurus muricatus,42.3,3
Austrelaps superbus,41.2,3
Bassiana duperreyi,43.5,3
Egernia cunninghami,41.9,4.7
Egernia inornata,41.6,9.8
Egernia saxatilis,41.8,4.5
Egernia whitii,41.8,4
Eulamprus kosciuskoi,40.2,2.5
Eulamprus quoyi,39.8,6
Gehyra variegata,43.8,6
Hemiergis decresiensis,39.3,9.6
Heteronotia binoei,40.6,9.6
Lampropholis delicata,40.8,4.7
Leiolopisma mustelinum,38.6,5.9
Moloch horridus,42.5,3.5
Nannoscincus maccoyi,37,4
Niveoscincus metallicum,40,2.7
Niveoscincus ocellatum,40.1,3
Notechis scutatus,38,2.2
Physignathus gilberti,41.8,2.7
Pseudemoia entrecasteauxii,42.1,2.5
Pseudemoia spenceri,42.3,1.9
Pseudonaja textilis,42.4,3.5
Sphenomorphus tympanum,39.8,2.2
Suta flagellum,40,3
Tiliqua nigrolutea,42.5,5.2
Varanus varius,43.7,5
Leiolopisma guichenoti,42,1.9
Chirodica chalcoptera,41,0.1
Glossina pallidipes,37.9,3.7
Ameiva festiva,43.7,15.5
Anolis carolinensis,41.7,4.7
Anolis cupreus,38.4,11.8
Anolis humilis,35.6,12.4
Anolis intermedius,38.4,11.1
Anolis lemurinus,37.3,12.9
Anolis limifrons,36.8,12.3
Anolis lionotus,36.7,14.7
Anolis tropidolepis,33.1,9.5
Cnemidophorus tigris,45.1,10.5
Lepidophyma flavimaculatum,38,11.3
Sceloporus graciosus,44.7,4.8
Sceloporus malachiticus,42.8,9.7
Sceloporus occidentalis,44.1,4.6
Sceloporus variabilis,43.1,10.2
Xantusia vigilis,41.6,6.9
Bothrometopus elongatus,31,-8
Bothrometopus parvulus,32,-8
Bothrometopus randi,31,-9
Ectemnorhinus marioni,34,-9
Ectemnorhinus similis,34,-10
Palirhoeus eatoni,32,-9
Uta stansburiana,43.7,7.8
Eremias brenchleyi,40.8,5.1
Takydromus septentrionalis,44.5,4.9
Plestiodon gilberti,42.3,7.7
Takydromus sexlineatus,42.2,6.4
