Anas aucklandica,37,30
Anas castanea,37,24
Anas gracilis,39,30
Anas rhynchotis,37,22
Aythya novaeseelandiae,33,16
Hymenolaimus malacorhynchos,38,12
Collocalia esculenta,34,31.5
Collocalia vanikorensis,34,30
Aegotheles cristatus,35,31
Podargus strigoides,38,30
Colius colius,35,29
Colius striatus,38,25
Urocolius macrourus,33,29
Caloenas nicobarica,37,25
Columba livia,36.5,23
Columba vitiensis,34,22
Columbina inca,35,32
Drepanoptila holosericea,33,27
Ducula bicolor,36,26
Ducula pacifica,36,27.5
Ducula pinon,37,23
Ducula pistrinaria,35,27
Ducula radiata,37,22
Ducula rubricera,36,24
Ducula rufigaster,35,26
Ducula zoeae,32,19
Geopelia cuneata,45,34
Geophaps plumifera,39,33
Goura cristata,35,19
Gymnophaps albertisii,36,22
Hemiphaga novaeseelandiae,30,20
Leucosarcia melanoleuca,36,24
Ptilinopus melanospilus,35,30
Ptilinopus perlatus,32,24
Ptilinopus superbus,30,26
Dacelo novaeguineae,35,20
Aceros plicatus,35,16
Bycanistes bucinator,30,24
Phoeniculus purpureus,35,23.1
Todus mexicanus,32,29
Guira guira,33,27
Daptrius ater,35,19.5
Falco rupicoloides,33,15
Leipoa ocellata,37,22
Callipepla gambelii,42,34
Alectoris chukar,39,24
Coturnix chinensis,35,27
Coturnix pectoralis,35,27
Lagopus leucura,38,6
Lagopus muta,22,-8.7
Syrmaticus humiae,29.2,23
Syrmaticus ellioti,31.6,24.5
Aramides cajanea,38,30
Gallinula mortierii,35,15
Gallinula tenebrosa,36,17
Gallinula ventralis,40,20
Gallirallus australis,38,30
Gallirallus owstoni,38,29
Megacrex inepta,35,18
Porphyrio hochstetteri,31,9
Porphyrio porphyrio,38,14
Porzana cinerea,37,28
Alaemon alaudipes,37.5,32.7
Eremalauda dunni,41,31.5
Mirafra erythrocephala,35.1,27.9
Cardinalis cardinalis,42.6,29
Cardinalis sinuatus,42.8,30
Cnemophilus loriae,32,20
Coereba flaveola,35,25
Aphelocoma coerulescens,24,12.4
Cyanocitta stelleri,31.8,28
Pica nuttalli,33.5,13.5
Pica pica,32.5,21
Amadina fasciata,38,31
Erythrura gouldiae,38,31.7
Estrilda melpoda,43,35
Estrilda troglodytes,38,36
Lonchura cucullata,38,33
Lonchura fuscans,39,30
Padda oryzivora,42,31
Taeniopygia guttata,38,30
Carpodacus mexicanus,33,25
Lanius collaris,35,25
Malurus cyaneus,35,26
Manacus vitellinus,32,26
Eremiornis carteri,39,30
Lichenostomus virescens,39,33
Lichmera indistincta,39,30
Aethopyga christinae,32,25
Anthreptes collaris,28,25
Anthreptes orientalis,32,25
Nectarinia amethystina,30,25
Nectarinia bifasciata,27,24
Nectarinia cuprea,35,31
Nectarinia kilimensis,32,25
Nectarinia senegalensis,35,30
Nectarinia tacazze,31,25
Astrapia stephaniae,31,23
Cicinnurus magnificus,33,20
Cicinnurus regius,33,20
Epimachus meyeri,33,18
Lophorina superba,32,19
Manucodia chalybatus,30,20
Manucodia keraudrenii,29,25
Paradisaea raggiana,33,16
Paradisaea rudolphi,33,17
Parotia lawesii,30,17
Parotia wahnesi,30,22
Ptiloris magnificus,31,22
Parus atricapillus,32,25
Passer domesticus,35,20
Pipra mentalis,32,26
Sitta canadensis,38,28
Onychognathus morio,30,15
Onychognathus tristramii,36.5,21.5
Acridotheres cristatellus,32.5,25
Hylophylax naevioides,34,30
Cyanerpes cyaneus,35,25
Sporophila corvina,39.2,28.9
Thryothorus ludovicianus,35,27
Zosterops lateralis,36.5,29
Trachyphonus darnaudii,38,35
Aulacorhynchus prasinus,34,23
Aulacorhynchus sulcatus,31,23
Pteroglossus aracari,35,29
Pteroglossus bailloni,34,19
Ramphastos dicolorus,34,20
Ramphastos toco,34,17
Ramphastos tucanus,35,25
Selenidera maculirostris,34,24
Cacatua roseicapilla,33,22
Nestor meridionalis,26,15
Nestor notabilis,28,5
Agapornis fischeri,34,27.3
Agapornis nigrigenis,35,32
Agapornis personatus,34,28
Agapornis roseicollis,30.5,27.5
Amazona viridigenalis,35,26.5
Bolborhynchus lineola,32,28
Cyanoramphus auriceps,37,22
Cyanoramphus novaezelandiae,37,22
Cyanoramphus unicolor,35,18
Melopsittacus undulatus,41,29
Myiopsitta monachus,38.5,24.5
Neophema pulchella,32,28.3
Neophema splendida,29,26
Nothoprocta perdicaria,28,10
Eudyptula minor,25,16
Otus leucotis,32,20
Aegolius funereus,25,10
Bubo virginianus,32.2,20.3
Glaucidium gnoma,34,27
Megascops asio,34,26
Megascops trichopsis,35,27
Strix aluco,35,16
Strix occidentalis,25.2,17
Tyto alba,32.5,22.5
Apteryx australis,30,10
Apteryx haastii,30,5
Apteryx owenii,29,6
Turnix suscitator,39,33
Setifer setosus,33,28
Aotus trivirgatus,30,28
Capra hircus,30,9
Kobus ellipsiprymnus,37,13
Madoqua kirkii,35,25
Philantomba monticola,32,26
Raphicerus campestris,33,30
Sus scrofa,22,4
Pecari tajacu,35,28
Tragulus javanicus,29,26.6
Canis mesomelas,26,22
Canis latrans,26,22
Vulpes macrotis,33,22
Cerdocyon thous,37,25
Canis lupus,32.5,10
Vulpes vulpes,30,-10
Vulpes zerda,32,23.4
Fossa fossana,34,26
Leptailurus serval,30,15
Galerella sanguinea,31,26
Suricata suricatta,33,30
Spilogale putorius,36,30
Eira barbara,35,26
Martes americana,35,26
Nasua nasua,33,25
Nasua narica,35,25
Potos flavus,30,23
Ailurus fulgens,36,25
Genetta tigrina,35,26
Nandinia binotata,34,27
Arctictis binturong,36,27
Arctogalidia trivirgata,38,19
Paradoxurus hermaphroditus,36,27
Saccopteryx bilineata,35,30
Peropteryx macrotis,37,30.5
Rhinonicteris aurantia,37.5,32.5
Hipposideros maggietaylorae,34,30
Hipposideros diadema,34,29
Hipposideros galeritus,32,29
Macroderma gigas,35,30
Molossus molossus,36,32
Tadarida brasiliensis,32.7,26.3
Mormoops megalophylla,39.5,33.5
Pteronotus davyi,43,34.5
Pteronotus parnellii,40.5,34
Pteronotus personatus,38.5,34
Chrotopterus auritus,34,28
Pteronotus quadridens,38,30
Mormoops blainvillei,36,30
Natalus tumidirostris,35,28
Diaemus youngi,30,25
Desmodus rotundus,37.5,29
Noctilio albiventris,38,32
Noctilio leporinus,38,28
Glossophaga longirostris,36,31.5
Leptonycteris curasoae,35,27
Leptonycteris yerbabuenae,38,35.5
Glossophaga soricina,35.2,31.4
Phyllostomus elongatus,36,25
Uroderma bilobatum,35,30
Tonatia bidens,35,28
Artibeus concolor,38,29
Rhinophylla pumilio,35,30
Phyllostomus hastatus,35,25
Artibeus lituratus,36,25
Phyllostomus discolor,37,25
Carollia perspicillata,35,29
Artibeus jamaicensis,35,25
Sturnira lilium,35.5,30
Diphylla ecaudata,30,26
Anoura caudifer,35,26
Choeroniscus periosus,37.7,28.2
Monophyllus redmani,35,31
Erophylla bombifrons,33,30
Anoura latidens,36.2,34.7
Sturnira erythromos,32.5,25.5
Macroglossus minimus,33,30.9
Pteropus scapulatus,35,24
Pteropus poliocephalus,35,15
Dobsonia minor,35,27.5
Melonycteris melanops,33,28
Syconycteris australis,33,29.5
Eonycteris spelaea,32.5,26
Cynopterus brachyotis,37,30
Pteropus rodricensis,35.5,24
Dobsonia praedatrix,33,26
Dobsonia anderseni,34,28
Nyctimene albiventer,34,28
Histiotus velatus,31,25
Miniopterus schreibersii,37.5,32.5
Lasiurus cinereus,34,30
Myotis thysanodes,36.5,32.5
Nyctophilus gouldi,32.5,30.7
Nyctophilus geoffroyi,33.2,29.1
Chalinolobus gouldii,40,35
Myotis keaysi,33.4,29.2
Myotis oxyotus,32.5,25.2
Myotis lucifugus,34.5,32.5
Vespadelus vulturnus,33.3,27.6
Chaetophractus nationi,35,29
Chaetophractus vellerosus,35,30
Dasypus novemcinctus,38,28
Euphractus sexcinctus,37,26
Tolypeutes matacus,36,28
Zaedyus pichiy,35,28
Dasycercus cristicauda,37,30
Ningaui yvonnae,35,32
Planigale gilesi,33,28
Planigale maculata,35,31
Sminthopsis crassicaudata,38,31
Sminthopsis macroura,34,31.3
Caluromys derbianus,35,26.36
Chironectes minimus,34,24.5
Didelphis marsupialis,36,25.5
Didelphis virginiana,34,22
Lutreolina crassicaudata,35,27
Marmosa lepida,35,31
Marmosa robinsoni,36,26
Metachirus nudicaudatus,36,27.5
Monodelphis brevicaudata,36,28.76
Philander opossum,36,29.5
Thylamys elegans,35,27.5
Acrobates pygmaeus,35.1,34
Cercartetus lepidus,33,29
Cercartetus concinnus,30,28
Lagorchestes conspicillatus,35,25
Macropus giganteus,35,15
Macropus rufus,35,25
Setonix brachyurus,32.5,20
Dendrolagus matschiei,37,27
Petaurus breviceps,31,27
Phalanger carmelitae,32.5,12.5
Spilocuscus maculatus,35.4,20.8
Phalanger sericeus,30,15
Phascolarctos cinereus,26,20
Potorous tridactylus,30,20
Bettongia gaimardi,20,10
Cercartetus nanus,35,31
Pseudocheirus peregrinus,32.5,25
Cercopithecus mitis,28,5
Petauroides volans,25,18
Tarsipes rostratus,34,28
Lasiorhinus latifrons,39,25
Atelerix albiventris,35,30
Erinaceus concolor,31.5,27.5
Crocidura russula,35,27.5
Crocidura suaveolens,35,27.5
Heterohyrax brucei,35,25
Procavia capensis,35,27
Brachylagus idahoensis,25.5,17.5
Lepus alleni,35,25
Sylvilagus audubonii,40,28
Elephantulus edwardii,36,32.5
Macroscelides proboscideus,38,35
Zaglossus bruijni,33,18
Isoodon obesulus,35,25
Macrotis lagotis,35,27
Tamandua tetradactyla,35,23
Callithrix pygmaea,34,27
Saimiri sciureus,35,25
Colobus guereza,28,5
Macaca fuscata,35,32.5
Microcebus murinus,28,25
Eulemur fulvus,40,30
Perodicticus potto,29,25
Nycticebus coucang,33,25
Nycticebus pygmaeus,35,27.5
Tarsius syrichta,35,32
Aplodontia rufa,35,26.5
Cryptomys hottentotus,32,28
Cryptomys bocagei,32.5,31.5
Cryptomys mechowi,30,29
Cryptomys damarensis,31,27
Georychus capensis,34,26.3
Heterocephalus glaber,37,31
Dolichotis salinicola,37,28
Kerodon rupestris,36,27
Hydrochoerus hydrochaeris,33,22
Microtus guentheri,34,30
Microtus californicus,40,33
Microtus longicaudus,33.5,26.5
Phyllotis darwini,34,27.5
Loxodontomys micropus,33,22
Peromyscus maniculatus,37,29
Megadontomys thomasi,35,28
Myodes gapperi,34,26
Peromyscus leucopus,34.5,27.5
Isthmomys pirrensis,34,32
Microtus arvalis,30,20
Ochrotomys nuttalli,36,29.5
Peromyscus gossypinus,35.3,29.7
Neotoma lepida,35,31
Oxymycterus roberti,34,33
Neofiber alleni,34,25
Ondatra zibethicus,30,15
Microtus pinetorum,35,23
Lemmiscus curtatus,33,25
Microtus richardsoni,33.5,22.5
Peromyscus californicus,34.5,27
Peromyscus truei,33,27
Peromyscus crinitus,35,29
Peromyscus eremicus,36.5,30
Microtus montanus,31,26
Reithrodontomys megalotis,35,32
Myopus schisticolor,24,20.9
Cricetulus barabensis,30,27
Graomys griseoflavus,34,25.6
Phodopus sungorus,35,20
Onychomys torridus,35,30
Microtus pennsylvanicus,29,25
Microtus ochrogaster,34,25
Ctenomys talarum,30,25
Priodontes maximus,34,27
Cabassous centralis,32.5,27.5
Dasyprocta azarae,35,18
Myoprocta acouchy,30,25
Dasyprocta leporina,34,20
Napaeozapus insignis,34,30
Jaculus jaculus,35,33
Jaculus orientalis,33,28
Thrichomys apereoides,35,25
Erethizon dorsatum,20,0
Geomys bursarius,33,30
Thomomys umbrinus,35,27
Thomomys talpoides,32,26
Geomys pinetis,35,26
Thomomys bottae,30,28
Chaetodipus intermedius,36,33
Dipodomys microps,32,27
Chaetodipus penicillatus,37,31
Dipodomys merriami,35,32
Dipodomys panamintinus,34,33
Liomys salvini,34,31
Liomys irroratus,34,31
Heteromys anomalus,33,26
Dipodomys deserti,35,28.5
Chaetodipus hispidus,33.5,30.5
Hystrix africaeaustralis,27,24
Abrothrix longipilis,32,27.3
Abrothrix andinus,34,26.8
Auliscomys boliviensis,31,22.7
Micaelamys namaquensis,34.49,26.39
Gerbillurus paeba,35.1,32.3
Gerbillus pusillus,38,31.4
Mus musculus,33,27
Rattus fuscipes,32.9,28.1
Rattus villosissimus,35,30
Akodon azarae,32,30
Gerbillurus setzeri,34.8,32.2
Gerbillurus vallinus,35,33.1
Gerbillurus tytonis,34.9,32.4
Mystromys albicaudatus,30,20
Gerbillus andersoni,35,28
Gerbillus nanus,34,33
Dipodillus dasyurus,35,32
Otomys irroratus,28,24
Apodemus mystacinus,32,28
Mus macedonicus,33,28
Baiomys taylori,36,29
Apodemus agrarius,27.5,25
Apodemus speciosus,30,25
Thallomys paedulcus,35.89,27.46
Notomys cervinus,34,33
Notomys alexis,34,32
Pseudomys hermannsburgensis,36,31
Cannomys badius,34.5,26.74
Gerbillus pyramidum,31,30
Meriones unguiculatus,40,30
Aepyprymnus rufescens,33,25
Acomys cahirinus,32.5,27
Saccostomus campestris,32,28
Steatomys pratensis,32,28
Octodon degus,35,27
Octodontomys gliroides,35,25
Spalacopus cyanus,34,26.5
Pedetes capensis,33,23
Spermophilus beecheyi,30,25
Ammospermophilus leucurus,34,31
Tamiasciurus hudsonicus,27,15
Cynomys ludovicianus,35,30
Spermophilus lateralis,30,23
Tamias striatus,32,28.5
Tamias minimus,34,26
Tamias merriami,35,29
Tachyoryctes splendens,35,27
Spalax leucodon,34,25
Tupaia belangeri,35,27.5
Tupaia glis,37,30
Blarina brevicauda,33,25
Neomys anomalus,30,25
Neomys fodiens,30,25
Notiosorex crawfordi,36,32
Sorex minutus,30,24
Sorex cinereus,30,25
Neurotrichus gibbsii,32,25
Condylura cristata,33,24.5
Scalopus aquaticus,33,26
